,Text,Difficulty,Difficulty Annotator 1,Difficulty Annotator 2,Difficulty Annotator 3
197,"Non, bien sûr ; mais ce que je veux dire c’est que nos préoccupations ont changé.",,A2,A2,A2
198,"Nous les jeunes aujourd’hui on veut être plus écoutés ; on veut que l’école nous prépare à trouver du boulot, enfin du travail, quoi.",,A2,A2,A2
199,"L’histoire, l’éducation civique tout ça c’est bien, mais ça ne nous prépare pas à trouver du travail.",,B1,A2,A2
200,Je suis tout à fait d’accord avec la jeune fille.,,A2,A2,A2
201,C’est exactement ce que je dis.,,A2,A2,A2
202,La mission de l’école a changé.,,A2,A2,A2
203,"Aujourd’hui il faut ouvrir l’école au monde de l’entreprise, revaloriser les apprentissages, s’ouvrir aux
  nouvelles technologies et oublier un peu les grandes missions d’hier pour être plus pragmatiques.",,C1,A2,A2
204,Plus concrets.,,A2,A2,A2
205,Je ne vois pas ce qu’il y a d’incompatible à enseigner des valeurs et en même temps de nouvelles techniques.,,B2,A2,A2
206,"Vous prônez une ouverture de l’école sur le monde d’aujourd’hui, je suis tout à fait d’accord avec vous.",,B2,A2,A2
207,"Vive Internet, vive l’informatique.",,A2,A2,A2
208,"Mais croyez-vous pour autant que ce monde n’a pas besoin d’apprendre la
  tolérance ?",,B1,A2,A2
209,Le droit à la différence ?,,A2,A2,A2
210,Mais les jeunes ils attendent ça depuis longtemps.,,A2,A2,A2
211,"Le respect, l’égalité , c’est ce que veulent les jeunes.",,B1,A2,A2
212,Le problème c’est que quand ils arrivent dans le monde du travail y a pas de respect.,,B1,A2,A2
213,C’est la jungle.,,A2,A2,A2
214,"Si tu portes un nom arabe, tu as plus de mal à trouver du travail que si tu t’appelles François ou Sylvie.",,B1,A2,A2
215, l’école doit nous préparer à affronter ce monde.,,A2,A2,A2
216,A affronter ce monde et l’améliorer.,,A2,A2,A2
217,"Vous êtes les citoyens de demain et nous devons
  vous donner de bonnes bases, non seulement pour vous préparer face au monde moderne mais aussi pour que
  vous fassiez changer ce monde.",,B1,A2,A2
218,L’école a-t-elle fait changer le monde ?,,A2,A2,A2
219,Sans aucun doute.,,A2,A2,A2
220,Notre société s’est développée parce que ses citoyens se sont éduqués.,,A2,A2,A2
221,C’est vrai ; pourtant les inégalités persistent.,,A2,A2,A2
222,"On constate que la plupart des jeunes qui réussissent sont
  issus de milieux socioculturels favorisés.",,A2,A2,A2
223,Combien de jeunes réussissent dans votre banlieue mademoiselle ?,,A2,A2,A2
224,Je ne sais pas ; pas beaucoup peut-être ; pas assez en tout cas.,,B1,A2,A2
225,"Ce que je sais par contre c’est que
  beaucoup de jeunes restent sur le carreau.",,A2,A2,A2
226,"Pas de diplôme, pas de boulot.",,A2,A2,A2
227,"Et ça c’est à cause de l’école, parce
  que l’école les a dégoûtés, ils avaient plus envie d’apprendre ; alors maintenant ils sont dans la rue et ils font
  n’importe quoi.",,B2,A2,A2
228,Y en a beaucoup comme ça ?,,A2,A2,A2
229,"Bon, peut-être qu’il y en pas encore beaucoup mais de plus en plus.",,B1,A2,A2
230,"Vous voyez, le rôle de l’école a changé.",,A2,A2,A2
231,Nous avons aujourd’hui un taux de scolarisation proche de 100 %.,,A2,A2,A2
232,"Ce n’était pas le cas il y a cent ans, et c’est très bien.",,A2,A2,A2
233,"Mais la société a évolué et si
  l’école ne le fait pas il y aura de plus en plus de jeunes comme ceux que décrit Mlle Lesueur.",,B1,A2,A2
234," L’école évolue, croyez-moi.",,A2,A2,A2
235,Elle fait face à de nombreux défis et elle les relève.,,A2,A2,A2
236,Le niveau des études ne cesse d’augmenter.,,A2,A2,A2
237,"On fait aujourd’hui en terminale ce qu’on faisait hier à l’université…
",,A2,A2,A2
238,"Oui, mais qui fait cela ?",,A2,,
239,L’ensemble des jeunes ?,,A2,A2,A2
240,"Les meilleurs, et les meilleurs sortent toujours du même milieu économique.",,B1,A2,A2
241,Vous exagérez.,,A1,A2,A2
242,L’ascenseur est en panne.,,A2,A2,A2
243,"Avant, on pouvait aspirer à devenir haut fonctionnaire même si on était fils de paysan.",,B1,A2,A2
244,"Aujourd’hui , c’est plus possible.",,A2,A2,A2
245,Les parents s’occupaient davantage de leurs enfants.,,A2,A2,A2
246,On ne peut pas demander à l’école de tout changer.,,A2,A2,A2
247,Les parents de banlieue se sont organisés pour les devoirs des enfants.,,A2,A2,A2
248,Ils ont créé une association. ,,A2,A2,A2
249,ils ont embauché des étudiants pour aider leurs enfants.,,A2,A2,A2
250,Ils ont levé des fonds.,,A2,A2,A2
251,Les solutions existent.,,A2,A2,A2
252,Il ne faut pas toujours aller les demander à la société.,,A2,A2,A2
253,L’école ne peut pas tout faire.,,A2,A2,A2
254,M. Cruchon vient de donner une réponse à notre question.,,A2,A2,A2
255,Il pense qu’elle ne peut pas tout faire.,,A2,A2,A2
256,Moi je pense que l’école ne peut pas tout faire. ,,A2,A2,A2
257,On doit aider les petits pour y arriver.,,A2,A2,A2
258,Mais si on n’a pas les moyens de le faire on le fera pas.,,A2,A2,A2
259,Il faudra bien que quelqu’un aide le petit à le faire.,,A2,A2,A2
260,C’est l’école qui doit le trouver.,,A2,A2,A2
261,Elle ne doit pas dégoûter les élèves.,,A2,A2,A2
262,Elle doit les aider à apprendre.,,A2,A2,A2
263,Je suis tout à fait d’accord.,,A2,A2,A2
264,"Si l’école a une mission aujourd’hui, c’est bien celle-là.",,B1,A2,A2
265,"Enseigner à apprendre, même par ceux qui ne réussissent pas.",,B1,A2,A2
266,"Cela passe sans doute par une autre forme d’enseignement, non plus basé sur la sanction mais sur la valorisation des apprentissages.",,B2,A2,A2
267,Je ne crois pas que les enfants vont réussir. ,,A2,A2,A2
268,"Cette fois, c’est vous qui caricaturez !",,A2,A2,A2
269,Enseigner à une enfant qu’il peut réussir.,,A2,A2,A2
270,Il peut aussi échouer,,A2,A2,A2
271,C’est lui redonner confiance en lui.,,A2,A2,A2
272,"Pas le casser, quoi.",,A2,A2,A2
273,Ne pas le casser.,,A2,A1,A1
274,Le temps s’achève.,,A2,A2,A2
275,Je vous remercie tous les trois. ,,A2,A2,A2
276,Nous nous retrouverons la semaine prochaine.,,A2,A2,A2
277,Une petite révolution et des chiffres qui parlent tout seuls.,,B1,B1,B1
278,1000 vues pour cette vidéo.,,A2,A2,A2
279,La visite du château en 20 secondes.,,A2,A2,A2
280,"Thomas Garnier s’occupe de la communication numérique du château de Versailles, et c’est lui qui imagine ces petites vidéos ludiques de plus en plus visibles sur les réseaux sociaux.",,B2,B2,B2
281,C’est le château.,,A1,A1,A1
282,"Lui, brun aux yeux noirs, signe particulier : marche à quatre pattes et tire la langue.",,B1,B1,B1
283,"Elle, jeune, sportive, en jogging noir, profession : éducatrice de chiens guides d’aveugles.",,B1,B1,B1
284,"En cette fin de matinée, Djengo, jeune chien d’un an et demi, est au travail.",,B1,B1,B1
285,"Alexiane Da Silva l’a emmené sur une piste d’entraînement pour les chiens guides, un parcours qui reproduit les difficultés rencontrées dans la ville.",,B1,B1,B1
286,Un chien comme Djengo est éduqué (ou dressé) pour accompagner une personne aveugle ou qui voit mal et pour l’aider dans ses déplacements quotidiens.,,B1,B1,B1
287,"Petit, il vivra d’abord dans une famille d’accueil qui lui donnera une première éducation.",,B1,B1,B1
288,"Avec elle, il apprendra qu’il ne faut pas aboyer sans raison, monter sur les canapés ou entrer dans les chambres.",,B1,B1,B1
289,"Pendant les promenades, le jeune chien s’habituera aux bruits de la ville, aux transports et aux magasins.",,B1,B1,B1
290,Il apprendra à ne pas courir après un ballon ou à ne pas avoir peur du klaxon des voitures.,,B1,B1,B1
291,"À l’âge d’un an, il entrera dans une école pour suivre une formation pendant six à huit mois.",,B1,B1,B1
292,"À la fin de sa formation, le chien saura parfaitement guider dans environ cinquante situations différentes et il pourra comprendre autant d’ordres.",,B1,B1,B1
293,"Alexiane Da Silva explique :  le chien commence par apprendre les directions, aller tout droit, à droite, à gauche, faire demi-tour.",,B1,B1,B1
294,"Il apprend ensuite tout ce qui concerne “ la recherche ”, c’est-à-dire savoir trouver et identifier les passages piétons, les pistes cyclables et les rues, s’arrêter devant les portes ou les escaliers, savoir éviter les difficultés, monter dans les transports, etc.",,B1,B1,B1
295,Le chien n’est pas le seul à apprendre !,,A2,A2,A2
296,Son futur maître doit également faire un stage de formation.,,B1,B1,B1
297,Le maître et le chien doivent bien se connaître mais aussi et surtout bien se comprendre.,,B1,B1,B1
298,"Par exemple, lorsque le chien signale quelque chose, le maître doit comprendre le sens.",,B1,B1,B1
299,De plus ce dernier doit apprendre à bien tenir son chien pour permettre à l’animal de bien le conduire.,,B1,B1,B1
300,"C’est ce qu’a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo : Ce chien m’apporte beaucoup de bonheur.",,B1,B1,B1
301,Je suis complétement en sécurité car j’ai une entière confiance en lui.,,B1,B1,B1
302,"Enfin, il faut savoir que l’éducation complète d’un chien guide coûte très cher et qu’en France, les dix écoles sont entièrement financées par des dons.",,B1,B1,B1
303,"C’est donc grâce à la générosité du grand public que, chaque année, près de 200 chiens trouvent un maître à guider.",,B1,B1,B1
304,C’était super !,,A1,A1,A1
305,Je suis restée quatre semaines à Boston dans une famille.,,A2,A2,A2
306,Il y avait deux enfants de 14 et 11 ans.,,A2,A2,A2
307,Je suis devenue très copine avec la fille de 14 ans.,,A2,A2,A2
308,"Elle s’appelle Joy, on parlait de tout, on s’entendait super bien !",,B1,B1,B1
309,"Oh tu sais, au début ce n’était pas facile.",,A2,A2,A2
310,Les deux premiers jours je ne comprenais rien du tout !,,A2,A2,A2
311,"Mais la famille était tellement sympa, on rigolait beaucoup.",,A2,A2,A2
312,Et puis après quelques jours tout était plus facile.,,B1,B1,B1
313,"En plus, comme il faisait très beau on mangeait toujours dans le jardin avec des amis ou des voisins, j’ai beaucoup parlé, tu sais !",,B1,B1,B1
314,Et aussi grâce à la télévision parce qu’on regardait tous les soirs deux ou trois épisodes de mes séries préférées.,,B1,B1,B1
315,"C’est génial, j’ai tout vu avant vous !",,A2,A2,A2
316,Voyager c’est bien mais voyager responsable c’est encore mieux !,,B1,B1,B1
317,"Mais au fait, qu’est-ce que c’est le tourisme responsable ?",,B1,B1,B1
318,"Eh bien, le tourisme responsable ou solidaire, c’est tout simplement voyager tout en cherchant à préserver l’équilibre environnemental, culturel et économique du lieu qu’on a choisi de visiter.",,B1,B1,B1
319,"C’est une activité en plein développement car aujourd’hui on ne veut plus seulement profiter du pays ou du village qui nous accueille, mais on souhaite de plus en plus participer réellement à la vie de celui-ci.",,B1,B1,B1
320,C’est une manière de découvrir un endroit en évitant les lieux touristiques et en respectant le milieu naturel.,,B1,B1,B1
321,Alors comment ça marche ?,,A1,A1,A1
322,C’est très simple !,,A1,A1,A1
323,"On choisit la date, le lieu et le projet qui nous intéressent, on paye et on part !",,B1,B1,B1
324,De nombreuses agences se sont spécialisées dans ce domaine et il suffit aujourd’hui de réserver son séjour comme des vacances ordinaires.,,B1,B1,B1
325,"Vous pourrez, par exemple, visiter le Costa Rica en participant au projet « Sauvons les tortues », ou partir construire une école à Madagascar ou même rester près de chez vous et rénover la mairie d’un petit village.",,B1,B1,B1
326,L’objectif de ce type de voyage est d’être actif et non pas un touriste passif qui visite sans vraiment découvrir la vie et les habitudes locales.,,B1,B1,B1
327,"Trop souvent le tourisme est une cause de dégradation de l’environnement ou de désorganisation d’une société traditionnelle alors que le voyageur doit être à l’écoute, tolérant et s’adapter à la vie locale.",,B1,B1,B1
328,"Bien sûr, il ne s’agit pas de travailler mais bien de participer et les séjours sont aussi organisés de manière à se faire plaisir.",,B1,B1,B1
329,"Par exemple, le matin on plante des arbres pour repeupler une forêt et l’après-midi chacun reste libre de visiter ce qu’il souhaite ou de se reposer sur une plage.",,B1,B1,B1
330,"Ce tourisme appelé responsable, durable ou éco tourisme permet donc de valoriser et de protéger les ressources naturelles tout en contribuant à la vie économique et culturelle.",,B1,B1,B1
331,"Le télévendeur renseigne la clientèle par téléphone, enregistre des commandes et effectue le
 suivi des clients.",,B1,B1,B1
332,"Cependant, l’essentiel de son temps consiste à trouver de nouveaux clients
 et à proposer des visites de représentants commerciaux.",,B1,B1,B1
333,Il peut également effectuer des enquêtes de marché.,,A2,A2,A2
334,"Dans le domaine de la publicité, il peut vendre des espaces publicitaires.",,B1,B1,B1
335,"Le télévendeur travaille à temps plein, à temps partiel ou en complément d’une autre activité.",,B1,B1,B1
336,"Les lieux de travail sont des entreprises, des sociétés de service, des centres d’appel, des
 agences de publicité, des régies publicitaires.",,B1,B1,B1
337,Parfois l’activité peut se faire à domicile.,,B1,B1,B1
338,Le développement d’Internet a engendré de nouveaux « profils » comme celui de vendeur itinérant.,,B1,B1,B1
339,"Équipé d’une caméra, d’un téléphone portable et d’un ordinateur, il aide le client à
 faire ses courses directement dans le magasin.",,B1,B1,B1
340,"Les conditions de travail sont difficiles, parfois très difficiles.",,B1,B1,B1
341,"C’est un travail qui s’exerce
 en position assise, en bureau individuel ou sur un plateau téléphonique intégré où le bruit
 assourdissant est permanent.",,B1,B1,B1
342,Les horaires de travail sont parfois décalés en fonction de la nature et de la disponibilité des publics contactés (le soir par exemple).,,B1,B1,B1
343,"Les périodes de pause
 sont de courte durée, le stress et la tension souvent présents.",,B1,B1,B1
344,"Dans cette profession, le renouvellement de personnel est important.",,B1,B1,B1
345,Toutes les enseignes de la grande distribution ont choisi Internet comme canal de distribution ou de commande.,,B1,B1,B1
346,"Avec de l’expérience, le télévendeur peut devenir animateur d´un pôle de
 télévendeurs, superviseur d’équipe, chef de plateau.",,B1,B1,B1
347,"Ce métier ne convient que pour un début
 de carrière, dans la vente, par exemple.",,B1,B1,B1
